filename,x1,y1,x2,y2,score,label
IMG-0001-0032,105,342,116,352,0.193632,0
IMG-0003-0189,422,345,433,356,0.636431,0
IMG-0003-0184,422,346,434,357,0.249107,0
IMG-0003-0186,422,346,434,357,0.405475,0
IMG-0003-0188,422,345,434,356,0.7609319999999999,0
IMG-0003-0185,422,346,434,357,0.40798999999999996,0
IMG-0003-0187,422,345,433,357,0.734858,0
IMG-0004-0041,452,222,464,234,0.940472,0
IMG-0004-0040,454,223,464,235,0.917234,0
IMG-0005-0528,359,256,374,271,0.21087599999999998,0
IMG-0005-0530,360,256,373,269,0.126689,0
IMG-0005-0529,359,256,374,271,0.36229,0
IMG-0005-0525,359,255,374,272,0.598629,0
IMG-0005-0526,358,254,374,272,0.14529599999999998,0
IMG-0006-0101,314,371,334,391,0.12617699999999998,0
IMG-0006-0100,315,373,333,392,0.5888439999999999,0
IMG-0008-0223,378,262,401,285,0.298147,0
IMG-0008-0222,383,264,398,277,0.631961,0
IMG-0010-0083,97,334,142,377,0.763864,0
IMG-0009-0153,190,317,203,327,0.891393,0
IMG-0010-0095,90,308,142,372,0.976255,0
IMG-0010-0085,94,330,139,379,0.6704749999999999,0
IMG-0010-0082,97,333,139,377,0.8016409999999999,0
IMG-0010-0087,96,318,149,380,0.842704,0
IMG-0009-0159,170,267,183,279,0.8466279999999999,0
IMG-0010-0084,95,330,144,379,0.6616259999999999,0
IMG-0009-0160,169,266,184,280,0.758097,0
IMG-0009-0154,190,317,203,326,0.707186,0
IMG-0010-0094,93,310,144,372,0.965471,0
IMG-0010-0091,90,309,149,378,0.9525509999999999,0
IMG-0009-0102,174,200,184,212,0.544366,0
IMG-0009-0155,191,318,202,326,0.400042,0
IMG-0009-0155,193,262,205,273,0.137681,0
IMG-0009-0151,191,317,201,326,0.8173659999999999,0
IMG-0010-0088,95,315,149,378,0.925183,0
IMG-0009-0158,172,267,183,279,0.8522419999999999,0
IMG-0009-0163,170,267,184,280,0.9506629999999999,0
IMG-0010-0090,91,304,150,382,0.9316169999999999,0
IMG-0009-0152,190,317,202,326,0.9388679999999999,0
IMG-0009-0162,171,267,184,280,0.896882,0
IMG-0010-0089,92,310,149,376,0.9689669999999999,0
IMG-0009-0150,191,317,201,327,0.18652,0
IMG-0009-0161,170,267,184,280,0.816809,0
IMG-0010-0086,95,322,142,377,0.789604,0
IMG-0010-0092,91,311,145,373,0.965727,0
IMG-0010-0097,96,314,136,374,0.8731679999999999,0
IMG-0010-0093,91,311,144,373,0.965884,0
IMG-0010-0096,94,311,140,373,0.930491,0
IMG-0011-0123,76,251,139,301,0.5936159999999999,0
IMG-0011-0122,77,253,137,301,0.680199,0
IMG-0012-0290,87,193,106,214,0.858402,0
