filename,x1,y1,x2,y2,score,label
IMG-0148-0139,135,327,144,336,0.594348,0
IMG-0148-0139,439,455,450,468,0.432678,0
IMG-0148-0139,322,354,337,369,0.250807,0
IMG-0148-0139,438,458,451,474,0.13535999999999998,0
IMG-0148-0141,333,348,348,365,0.345888,0
IMG-0148-0141,439,455,450,467,0.29198399999999997,0
IMG-0148-0141,127,338,136,348,0.10985199999999999,0
IMG-0150-0197,136,197,145,206,0.60735,0
IMG-0150-0197,134,193,147,205,0.178921,0
IMG-0150-0197,159,263,167,270,0.118931,0
IMG-0150-0199,136,200,144,209,0.768874,0
IMG-0150-0199,105,294,114,308,0.161552,0
IMG-0150-0199,108,294,120,309,0.12222,0
IMG-0150-0200,136,200,143,208,0.43799,0
IMG-0150-0198,135,198,145,208,0.717491,0
IMG-0150-0198,102,293,114,305,0.129288,0
IMG-0151-0052,347,347,359,365,0.720301,0
IMG-0151-0052,79,248,87,255,0.171793,0
IMG-0151-0052,344,360,357,371,0.16943,0
IMG-0151-0052,72,279,82,290,0.13801,0
IMG-0150-0214,218,302,236,315,0.8206749999999999,0
IMG-0150-0214,220,304,232,312,0.683937,0
IMG-0150-0214,163,258,169,265,0.388188,0
IMG-0150-0214,312,237,323,248,0.115728,0
IMG-0150-0215,217,302,236,317,0.5153719999999999,0
IMG-0150-0215,219,304,232,314,0.42072499999999996,0
IMG-0150-0215,309,232,323,244,0.290632,0
IMG-0150-0215,301,240,314,251,0.210945,0
IMG-0150-0215,308,236,321,247,0.199311,0
IMG-0150-0215,288,230,297,240,0.12712099999999998,0
IMG-0150-0215,317,233,325,242,0.120071,0
IMG-0150-0215,249,93,258,111,0.110565,0
IMG-0150-0215,309,281,322,291,0.10331599999999999,0
IMG-0151-0053,347,346,360,366,0.833079,0
IMG-0151-0053,407,333,412,341,0.20626799999999998,0
IMG-0151-0053,78,246,88,256,0.20329,0
IMG-0151-0053,78,242,85,252,0.165049,0
IMG-0151-0053,405,329,413,339,0.15706599999999998,0
IMG-0151-0053,404,332,414,343,0.12116199999999999,0
IMG-0151-0053,343,361,358,371,0.11939699999999999,0
IMG-0150-0196,137,197,145,206,0.493756,0
IMG-0152-0053,458,320,466,330,0.7773019999999999,0
IMG-0152-0053,454,263,462,273,0.712417,0
IMG-0152-0052,453,264,461,273,0.792134,0
IMG-0152-0052,354,292,390,319,0.320069,0
IMG-0152-0052,448,262,462,275,0.223403,0
IMG-0152-0052,94,168,100,178,0.17206,0
IMG-0152-0052,91,167,103,181,0.15620199999999998,0
IMG-0152-0052,361,318,383,329,0.13797199999999998,0
IMG-0152-0052,459,322,467,331,0.13289099999999998,0
IMG-0152-0052,361,311,382,323,0.12050799999999999,0
IMG-0152-0216,190,260,199,270,0.610274,0
IMG-0152-0216,190,260,197,267,0.591281,0
IMG-0152-0106,375,393,385,403,0.862362,0
IMG-0152-0106,153,135,159,142,0.200422,0
IMG-0152-0050,354,291,387,314,0.18195699999999998,0
IMG-0152-0105,375,393,384,402,0.8832639999999999,0
IMG-0152-0217,190,259,197,267,0.712514,0
IMG-0152-0217,189,260,200,270,0.6622279999999999,0
IMG-0152-0051,452,263,462,274,0.7858189999999999,0
IMG-0152-0051,359,292,392,313,0.23398,0
IMG-0153-0231,279,128,288,139,0.44227,0
IMG-0153-0230,279,128,288,138,0.518782,0
IMG-0153-0229,279,128,288,138,0.354145,0
IMG-0153-0229,364,223,374,233,0.256681,0
IMG-0153-0229,190,204,205,214,0.12692799999999999,0
IMG-0153-0229,190,197,208,213,0.116116,0
IMG-0153-0143,426,226,434,236,0.33489199999999997,0
IMG-0153-0199,96,276,102,283,0.736607,0
IMG-0153-0199,94,273,106,285,0.619242,0
IMG-0153-0199,183,226,194,237,0.562854,0
IMG-0153-0199,370,204,378,215,0.277466,0
IMG-0153-0199,365,205,381,220,0.18609499999999998,0
IMG-0153-0199,372,204,383,216,0.104502,0
IMG-0153-0139,114,276,127,289,0.415527,0
IMG-0153-0139,111,268,129,289,0.23166799999999999,0
IMG-0153-0142,426,225,434,236,0.48327699999999996,0
IMG-0153-0197,371,199,382,211,0.7119489999999999,0
IMG-0153-0197,371,202,379,216,0.183529,0
IMG-0153-0197,364,202,381,219,0.131985,0
IMG-0153-0227,196,202,208,217,0.63754,0
IMG-0153-0227,364,222,374,233,0.210191,0
IMG-0153-0200,96,276,102,284,0.8324499999999999,0
IMG-0153-0200,94,273,106,285,0.644056,0
IMG-0153-0198,370,201,381,212,0.491612,0
IMG-0153-0198,364,203,381,219,0.38212399999999996,0
IMG-0153-0198,368,204,378,214,0.381024,0
IMG-0153-0198,96,274,105,284,0.30865699999999996,0
IMG-0153-0198,183,226,193,236,0.198451,0
IMG-0153-0201,95,275,102,284,0.8349479999999999,0
IMG-0153-0201,93,276,104,288,0.585421,0
IMG-0153-0141,426,226,434,236,0.500675,0
IMG-0153-0228,194,199,210,213,0.482994,0
IMG-0153-0228,364,223,374,233,0.315505,0
IMG-0153-0228,279,128,288,138,0.243141,0
IMG-0153-0232,279,128,288,138,0.42200099999999996,0
IMG-0153-0232,332,307,344,319,0.40607299999999996,0
IMG-0153-0232,328,308,350,325,0.261446,0
IMG-0153-0232,122,275,130,284,0.139538,0
IMG-0154-0105,202,308,228,325,0.9168729999999999,0
IMG-0154-0105,306,269,313,277,0.25195999999999996,0
IMG-0154-0105,210,314,224,328,0.149039,0
IMG-0154-0105,302,231,312,245,0.11769099999999999,0
IMG-0154-0103,203,310,222,323,0.8507469999999999,0
IMG-0154-0103,194,310,216,324,0.576402,0
IMG-0154-0103,295,267,308,285,0.43690999999999997,0
IMG-0154-0103,209,300,234,317,0.125256,0
IMG-0154-0103,302,263,312,276,0.11244699999999999,0
IMG-0154-0104,202,306,224,324,0.866126,0
IMG-0154-0104,195,256,205,269,0.308072,0
IMG-0154-0104,193,308,217,328,0.267431,0
IMG-0154-0104,196,261,206,273,0.179927,0
IMG-0154-0104,321,266,328,274,0.10536799999999999,0
IMG-0154-0106,200,309,227,327,0.749549,0
IMG-0154-0106,203,315,222,326,0.48242999999999997,0
IMG-0154-0107,200,315,216,332,0.905015,0
IMG-0154-0107,193,310,220,335,0.5221,0
IMG-0154-0108,201,317,217,334,0.928064,0
IMG-0154-0108,194,314,226,338,0.6716519999999999,0
IMG-0156-0141,84,245,103,260,0.558738,0
IMG-0156-0141,117,240,128,252,0.499642,0
IMG-0156-0139,84,244,102,258,0.790864,0
IMG-0155-0071,393,354,401,363,0.7085049999999999,0
IMG-0155-0071,393,178,401,185,0.695387,0
IMG-0156-0138,83,244,103,258,0.6203609999999999,0
IMG-0155-0080,359,394,368,404,0.847746,0
IMG-0155-0080,361,396,367,405,0.307061,0
IMG-0156-0147,85,246,102,261,0.8167169999999999,0
IMG-0156-0147,148,386,157,394,0.125614,0
IMG-0156-0146,84,246,101,261,0.725441,0
IMG-0156-0146,87,251,97,266,0.155048,0
IMG-0156-0145,83,245,103,261,0.7903009999999999,0
IMG-0156-0145,87,251,97,265,0.18528799999999998,0
IMG-0155-0052,318,397,329,407,0.358354,0
IMG-0155-0052,315,397,332,411,0.29357099999999997,0
IMG-0155-0052,383,297,420,325,0.149063,0
IMG-0155-0052,312,398,323,407,0.13189299999999998,0
IMG-0155-0052,324,400,335,410,0.12046499999999999,0
IMG-0156-0150,149,387,157,395,0.444747,0
IMG-0156-0150,85,244,100,261,0.34654799999999997,0
IMG-0156-0150,92,244,104,260,0.33191499999999996,0
IMG-0156-0150,148,385,161,396,0.227491,0
IMG-0156-0150,87,252,100,266,0.196685,0
IMG-0156-0150,112,174,119,181,0.150509,0
IMG-0156-0144,84,246,103,262,0.758517,0
IMG-0156-0144,88,252,97,265,0.133077,0
IMG-0156-0137,84,243,101,256,0.686352,0
IMG-0156-0142,84,246,103,261,0.6886899999999999,0
IMG-0156-0142,163,214,171,222,0.206874,0
IMG-0156-0142,92,248,104,260,0.11427999999999999,0
IMG-0156-0140,83,245,103,260,0.790669,0
IMG-0156-0148,148,387,157,396,0.728749,0
IMG-0156-0148,90,245,105,261,0.613951,0
IMG-0156-0148,84,249,98,259,0.40209999999999996,0
IMG-0156-0148,84,248,104,266,0.190186,0
IMG-0156-0148,92,248,102,259,0.144928,0
IMG-0156-0149,91,246,106,260,0.693573,0
IMG-0156-0149,148,387,157,395,0.51077,0
IMG-0156-0149,86,244,111,265,0.48551,0
IMG-0156-0149,149,388,160,398,0.172207,0
IMG-0156-0149,85,250,98,259,0.10977999999999999,0
IMG-0155-0079,360,394,368,403,0.7023969999999999,0
IMG-0155-0053,322,400,332,411,0.80304,0
IMG-0155-0053,324,404,335,415,0.315289,0
IMG-0155-0053,318,397,334,414,0.229618,0
IMG-0156-0143,84,246,103,262,0.7054929999999999,0
IMG-0156-0143,88,252,98,265,0.126295,0
