filename,x1,y1,x2,y2,score,label
IMG-0129-0227,361,238,401,268,0.979826,0
IMG-0130-0046,115,307,138,330,0.959495,0
IMG-0129-0259,208,282,236,307,0.957928,0
IMG-0130-0049,115,306,138,330,0.9584729999999999,0
IMG-0129-0264,167,321,182,338,0.959638,0
IMG-0129-0235,361,236,398,267,0.98008,0
IMG-0129-0237,367,237,393,262,0.962893,0
IMG-0130-0047,114,306,138,330,0.9678559999999999,0
IMG-0129-0254,202,279,238,311,0.987215,0
IMG-0129-0236,363,236,397,265,0.9734499999999999,0
IMG-0129-0265,166,320,182,338,0.9741219999999999,0
IMG-0129-0145,363,323,393,356,0.956488,0
IMG-0129-0145,129,257,140,269,0.943557,0
IMG-0129-0146,130,258,140,269,0.961858,0
IMG-0129-0146,362,323,393,358,0.935757,0
IMG-0129-0232,361,237,399,268,0.986485,0
IMG-0129-0137,366,323,392,354,0.90499,0
IMG-0129-0137,375,340,413,375,0.122767,0
IMG-0129-0138,364,323,394,357,0.737966,0
IMG-0129-0138,375,340,409,376,0.13228499999999999,0
IMG-0129-0138,369,327,389,349,0.106958,0
IMG-0129-0229,359,238,401,268,0.984273,0
IMG-0129-0135,368,326,390,351,0.826839,0
IMG-0129-0135,378,345,416,380,0.24037699999999998,0
IMG-0129-0228,360,237,401,268,0.983192,0
IMG-0129-0233,360,236,399,268,0.984788,0
IMG-0129-0255,202,278,237,311,0.9870099999999999,0
IMG-0129-0247,201,280,238,309,0.605418,0
IMG-0129-0230,359,237,400,268,0.984988,0
IMG-0129-0246,204,281,237,307,0.503352,0
IMG-0130-0057,174,305,199,328,0.974783,0
IMG-0130-0057,217,187,238,205,0.125606,0
IMG-0129-0147,131,258,141,270,0.9547,0
IMG-0129-0147,361,324,391,359,0.936353,0
IMG-0129-0268,166,321,183,338,0.975703,0
IMG-0129-0256,202,277,237,310,0.9853909999999999,0
IMG-0129-0258,204,276,237,309,0.961096,0
IMG-0129-0143,363,323,394,355,0.926435,0
IMG-0129-0143,129,255,138,267,0.587646,0
IMG-0129-0136,368,324,391,353,0.9444619999999999,0
IMG-0129-0136,374,341,410,377,0.101781,0
IMG-0129-0243,371,240,385,254,0.9452569999999999,0
IMG-0129-0253,202,279,238,310,0.983103,0
IMG-0129-0224,364,239,398,266,0.94844,0
IMG-0130-0058,174,305,199,328,0.957299,0
IMG-0130-0058,218,187,237,205,0.46827599999999997,0
IMG-0129-0148,132,259,141,271,0.9357019999999999,0
IMG-0129-0148,358,323,391,359,0.81641,0
IMG-0129-0251,201,279,238,311,0.9669179999999999,0
IMG-0129-0244,371,241,386,255,0.666098,0
IMG-0129-0144,363,322,393,356,0.9562069999999999,0
IMG-0129-0144,129,256,139,268,0.91108,0
IMG-0130-0056,175,305,200,327,0.948743,0
IMG-0129-0139,362,323,398,360,0.417732,0
IMG-0129-0139,375,339,408,375,0.190916,0
IMG-0129-0139,387,343,405,367,0.13244799999999998,0
IMG-0129-0226,362,237,400,268,0.9746119999999999,0
IMG-0130-0059,173,305,199,328,0.944793,0
IMG-0130-0059,217,187,237,205,0.304799,0
IMG-0129-0266,166,320,182,339,0.9779749999999999,0
IMG-0129-0141,127,254,136,265,0.266003,0
IMG-0129-0141,362,324,398,363,0.25316,0
IMG-0129-0141,381,344,402,368,0.163711,0
IMG-0129-0250,201,280,238,309,0.92406,0
IMG-0129-0250,437,310,448,319,0.10948999999999999,0
IMG-0129-0248,200,281,237,309,0.616328,0
IMG-0129-0257,202,277,237,310,0.9771789999999999,0
IMG-0129-0222,368,242,392,264,0.886439,0
IMG-0129-0222,219,381,226,390,0.166424,0
